Feature,Importance
lbp-3D-m1_glrlm_LongRunLowGrayLevelEmphasis,0.0015256161271878
gradient_glszm_SizeZoneNonUniformity,0.0015208071458135
lbp-3D-k_firstorder_RobustMeanAbsoluteDeviation,0.0015124406920208
lbp-3D-k_glrlm_HighGrayLevelRunEmphasis,0.00151006419027
lbp-3D-k_firstorder_Uniformity,0.0015085888833984
gradient_firstorder_Mean,0.0015049133765213
lbp-3D-k_firstorder_Entropy,0.0015044849192514
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.0015032768772119
gradient_glrlm_LongRunEmphasis,0.0015030470447494
lbp-3D-m2_gldm_DependenceVariance,0.0014953413979835
wavelet-LLL_glcm_Imc1,0.0014777230644758
lbp-3D-m2_gldm_DependenceNonUniformity,0.0014746868310917
log-sigma-1-0-mm-3D_firstorder_Range,0.0014736200670394
log-sigma-3-0-mm-3D_glrlm_RunPercentage,0.0014716169969875
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.0014692534644922
lbp-3D-k_glcm_JointEntropy,0.0014647535469392
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.0014610763417112
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.0014595585044445
wavelet-HHH_ngtdm_Complexity,0.0014591356846497
gradient_gldm_LowGrayLevelEmphasis,0.0014579873749867
log-sigma-5-0-mm-3D_glcm_MCC,0.0014500927871406
square_firstorder_Skewness,0.0014493807785018
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.0014426807402542
lbp-2D_gldm_DependenceEntropy,0.0014340160096666
lbp-3D-m1_firstorder_MeanAbsoluteDeviation,0.0014307212783633
lbp-3D-k_firstorder_Mean,0.0014237177517228
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.0014215328860104
wavelet-HLL_firstorder_Variance,0.0014197302972642
log-sigma-3-0-mm-3D_glszm_ZoneVariance,0.0014181285044706
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.0014087289149183
log-sigma-5-0-mm-3D_glszm_GrayLevelVariance,0.0014072377114632
exponential_gldm_DependenceNonUniformity,0.0014061481997659
gradient_glcm_Idn,0.0014058804168382
wavelet-LLH_gldm_GrayLevelNonUniformity,0.0014046005246478
wavelet-HHH_glrlm_RunEntropy,0.0013974951106787
log-sigma-3-0-mm-3D_glcm_SumAverage,0.0013968149712299
gradient_gldm_DependenceVariance,0.0013849260114019
original_glcm_SumAverage,0.0013847355333248
wavelet-HLH_firstorder_Range,0.0013830139261815
lbp-3D-m2_glrlm_RunLengthNonUniformity,0.0013815639063991
lbp-3D-k_glcm_Idm,0.0013585566101376
squareroot_glcm_DifferenceEntropy,0.0013531245849279
wavelet-LHH_gldm_DependenceNonUniformity,0.0013518540208364
log-sigma-4-0-mm-3D_firstorder_Minimum,0.0013444373482891
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,0.0013424849016611
lbp-3D-m2_glrlm_ShortRunLowGrayLevelEmphasis,0.0013407329375441
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.0013358458732704
log-sigma-4-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.0013163830893709
wavelet-HLH_glcm_MaximumProbability,0.0013048948261177
log-sigma-4-0-mm-3D_glcm_ClusterProminence,0.0012998342103266
wavelet-HHL_firstorder_RootMeanSquared,0.0012960850086865
squareroot_glcm_SumSquares,0.0012897732333523
log-sigma-2-0-mm-3D_glcm_SumEntropy,0.0012787015157031
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.0012785889830579
gradient_firstorder_Kurtosis,0.0012765419755792
lbp-3D-m1_firstorder_90Percentile,0.0012749454990807
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.0012736208848081
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.0012717919412634
lbp-3D-k_glszm_ZoneEntropy,0.0012658151729922
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.0012606650483387
original_glszm_ZoneVariance,0.0012489810772158
lbp-3D-k_glcm_ClusterProminence,0.0012469065333092
